restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,7.416160905167473e-05,1.406571104223045e-07,0.9981033702987175,13484.065580389639,1,200,204,0,111.54
1,1,1,train,1.406571104223045e-07,6.802164833969644e-08,0.5164009260856391,7109487.7251326395,1,200,204,0,120.99
2,1,2,train,6.802164833969644e-08,4.76366729860736e-08,0.2996836426518419,7109487.7251326395,0,200,203,0,141.76
3,1,3,train,4.76366729860736e-08,3.641142531060344e-08,0.2356429820099278,7109487.7251326395,0,200,205,0,116.85
4,1,4,train,3.641142531060344e-08,2.931453794993132e-08,0.19490825476160153,7109487.7251326395,0,200,203,0,107.59
5,1,5,train,2.931453794993132e-08,2.3298871210257868e-08,0.20521103726581322,7109487.7251326395,0,200,205,0,105.86
6,1,6,train,2.3298871210257868e-08,1.8572715125157693e-08,0.20284914416881172,7109487.7251326395,0,200,210,0,113.45
7,1,7,train,1.8572715125157693e-08,1.5328295433146637e-08,0.1746874202370295,7109487.7251326395,0,200,209,0,104.01
8,1,8,train,1.5328295433146637e-08,1.2741349503153995e-08,0.16876931562778383,7109487.7251326395,0,200,211,0,105.23
9,1,9,train,1.2741349503153995e-08,1.1394910105210277e-08,0.10567478724372335,78484622.03728576,1,200,212,0,112.88
10,1,10,train,1.1394910105210277e-08,9.9922245718126e-09,0.12309755148979233,78484622.03728576,0,200,218,0,115.81
11,1,11,train,9.9922245718126e-09,8.751643916892345e-09,0.12415460101045465,78484622.03728576,0,200,213,0,116.01
12,1,12,train,8.751643916892345e-09,7.939678115114572e-09,0.09277866072801752,78484622.03728576,0,200,212,0,114.54
13,1,13,train,7.939678115114572e-09,7.294153917608808e-09,0.08130357278299417,78484622.03728576,0,200,214,0,101.94
14,1,14,train,7.294153917608808e-09,6.757636051880349e-09,0.07355450293326714,78484622.03728576,0,200,211,0,116.03
15,1,15,train,6.757636051880349e-09,6.292596314960746e-09,0.06881692552681991,78484622.03728576,0,200,213,0,108.9
16,1,16,train,6.292596314960746e-09,5.830184973808003e-09,0.07348498425893825,78484622.03728576,0,200,216,0,99.23
17,1,17,train,5.830184973808003e-09,5.43555441116034e-09,0.06768748580371518,78484622.03728576,0,200,218,0,128.16
18,1,18,train,5.43555441116034e-09,5.06959142522953e-09,0.06732762810347559,78484622.03728576,0,200,217,0,126.09
19,1,19,train,5.06959142522953e-09,4.7298147902241286e-09,0.06702248889613782,78484622.03728576,0,200,221,0,118.26
20,1,20,train,4.7298147902241286e-09,4.4429194631368065e-09,0.060656778290831805,78484622.03728576,0,200,216,0,113.87
21,1,21,train,4.4429194631368065e-09,4.1693367182518955e-09,0.06157724603266949,78484622.03728576,0,200,215,0,115.56
22,1,22,train,4.1693367182518955e-09,3.926390736484559e-09,0.05826969568176254,78484622.03728576,0,200,213,0,114.79
