component,unit,p_lo,p_hi,n,med,p95,signed_mean,signed_median
x,µm,1.0,2.0,5,1181.0256954935312,6229.159231270137,493.8375526833738,-421.35120814083393
x,µm,2.0,3.0,159,314.8432559438561,1747.4772117280334,82.9753885175015,141.07893767652513
x,µm,3.0,5.0,341,138.43968452579247,1252.8493431791503,-90.01248027509735,2.526217284014365
x,µm,5.0,7.0,233,57.389298317986004,529.8355519212906,-1.4963947979371126,-15.166738908988009
x,µm,7.0,10.0,197,26.969949205181365,153.24313180899438,30.565420953357197,16.77435779095049
x,µm,10.0,15.0,208,12.52603547359854,85.58616159200474,-9.857565007498152,-2.2242433610415446
x,µm,15.0,20.0,109,12.380450765050455,95.99934463590209,4.527788734743256,-8.37370766606682
x,µm,20.0,30.0,115,10.982509580088617,36.32241120492095,-10.010713830759613,-8.952990883528855
x,µm,30.0,50.0,55,6.712585270889804,42.90918792783955,-6.423533880014063,-2.1105487111299226
x,µm,50.0,100.0,24,13.920430131967976,73.16544712410428,-20.438319423438916,-13.274826431057818
x,µm,100.0,200.0,6,48.783059695537645,317.868503888171,34.17807645897852,0.08735875479004562
x,µm,10.0,20.0,317,12.501847708961122,87.46682590236786,-4.911181544077604,-5.0152830537228965
y,µm,1.0,2.0,5,1024.9256538915006,2656.579963107947,-65.98826654852417,-211.63641856519178
y,µm,2.0,3.0,159,381.14840378165127,2265.504071794123,335.87697856206125,120.28795406399695
y,µm,3.0,5.0,341,207.24393483083503,1258.4705218414456,62.68033422972704,38.113680220689616
y,µm,5.0,7.0,233,88.04846238882647,543.1859808506032,38.93204977130772,7.964891661686124
y,µm,7.0,10.0,197,40.43297204304963,180.20939856180541,-3.5303740625341598,-11.559310006049373
y,µm,10.0,15.0,208,21.914636401966447,150.83537638937514,13.405448628616348,0.4210255601577728
y,µm,15.0,20.0,109,16.15751374259844,94.18171589818482,13.704344354714326,7.865687520052234
y,µm,20.0,30.0,115,6.6517793803768654,37.85409513820639,1.9888970561185566,-0.3943561297035103
y,µm,30.0,50.0,55,5.72395593368924,34.88596698261685,4.873172903951796,2.983908430957527
y,µm,50.0,100.0,24,9.621776640877044,38.76640700248684,-0.7623941416649848,0.1940901489874136
y,µm,100.0,200.0,6,13.398546317020532,21.11494603629893,10.127562870768733,11.621856269357522
y,µm,10.0,20.0,317,19.428412225494185,118.73211541438583,13.50822349973521,3.8345897695535314
tx,mrad,1.0,2.0,5,0.7238226481725007,2.2416606072803043,-0.48222326247404634,-0.280882054786491
tx,mrad,2.0,3.0,159,0.24639739874643407,1.315311133600627,-0.05035373876320542,-0.017267222763628354
tx,mrad,3.0,5.0,341,0.11961216299838373,0.9883469438600745,-0.06350630443407186,-0.062436867190984735
tx,mrad,5.0,7.0,233,0.050146856205052215,0.33974358710530117,-0.022598618118745407,-0.03369156687643704
tx,mrad,7.0,10.0,197,0.018142667959977765,0.11858141927855706,0.003119251222716534,-0.0015790816277894137
tx,mrad,10.0,15.0,208,0.012759001688879279,0.05881339421687642,-0.012549738347404579,-0.008973081561253204
tx,mrad,15.0,20.0,109,0.013719782882073983,0.0757873041460629,0.00489284775001103,-0.008228725135214776
tx,mrad,20.0,30.0,115,0.009789868541526525,0.02449274609627946,-0.006410809032826096,-0.008110096678115575
tx,mrad,30.0,50.0,55,0.006462417652078334,0.01825800305432744,-0.0025162565807980747,-0.003975940087601326
tx,mrad,50.0,100.0,24,0.007813210650360614,0.034136265721447144,-0.008866257034813741,-0.006704598661203681
tx,mrad,100.0,200.0,6,0.02157846081916187,0.08801802421926985,0.0057824648637211954,0.006886799629001253
tx,mrad,10.0,20.0,317,0.013316644886712803,0.06714068875067826,-0.00655212987857713,-0.008440482628671586
ty,mrad,1.0,2.0,5,0.7718165830335518,2.7126952717431636,0.43639977032193,0.5896613845630394
ty,mrad,2.0,3.0,159,0.34251333492171104,1.7996773926515146,0.23687498588661585,0.03216004750414628
ty,mrad,3.0,5.0,341,0.15504931990097115,1.2438773658456637,0.10453484628788878,0.05041134867884295
ty,mrad,5.0,7.0,233,0.0642418367711381,0.36630213536536493,0.016723816892248475,0.01927500455315735
ty,mrad,7.0,10.0,197,0.03626485762958133,0.1509041050115289,6.483172146573667e-05,0.008834677176643851
ty,mrad,10.0,15.0,208,0.019491175206005906,0.09543663050658957,0.0037903678660632474,0.006952048862728273
ty,mrad,15.0,20.0,109,0.011747483862900587,0.051271811128081254,-0.0007116519522622613,0.007350029051562956
ty,mrad,20.0,30.0,115,0.00837949819631166,0.02916164890564288,-0.001626779123754945,0.000442863421271783
ty,mrad,30.0,50.0,55,0.008549873894887067,0.01805956497237353,0.0019763032198514786,0.004088251203709925
ty,mrad,50.0,100.0,24,0.004929894001830769,0.012166023013482349,0.0005276260634326693,0.001328559187548789
ty,mrad,100.0,200.0,6,0.004422038254854599,0.005712854194336956,0.0040627607974817155,0.004422038254854599
ty,mrad,10.0,20.0,317,0.01612575923630455,0.08440777077858536,0.0022423547424118896,0.007350029051562956
