restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,4.445557037036379e-06,8.914524148167494e-09,0.997994734051571,224943.68909652944,1,200,205,0,212.7
1,1,1,train,8.914524148167494e-09,4.461366513224818e-09,0.4995395784370707,112176486.75118168,1,200,211,0,214.92
2,1,2,train,4.461366513224818e-09,3.11397361007124e-09,0.30201349724563187,112176486.75118168,0,200,206,0,207.25
3,1,3,train,3.11397361007124e-09,2.4125292677295377e-09,0.22525699642189806,112176486.75118168,0,200,205,0,205.46
4,1,4,train,2.4125292677295377e-09,1.9548936285535236e-09,0.18969122791480197,112176486.75118168,0,200,208,0,208.41
5,1,5,train,1.9548936285535236e-09,1.6513325480080621e-09,0.15528265891892756,112176486.75118168,0,200,207,0,209.87
6,1,6,train,1.6513325480080621e-09,1.4113813398859317e-09,0.14530762347752074,112176486.75118168,0,200,211,0,213.78
7,1,7,train,1.4113813398859317e-09,1.209882396096461e-09,0.14276718707770072,112176486.75118168,0,200,214,0,215.08
8,1,8,train,1.209882396096461e-09,1.048775148141912e-09,0.13315942811825518,112176486.75118168,0,200,215,0,218.6
9,1,9,train,1.048775148141912e-09,9.268789755012738e-10,0.11622717496366922,112176486.75118168,0,200,213,0,214.67
10,1,10,train,9.268789755012738e-10,8.242968081390728e-10,0.110674823869775,112176486.75118168,0,200,211,0,212.06
11,1,11,train,8.242968081390728e-10,7.701855437720498e-10,0.06564536442787437,1213155249.5727766,1,200,220,0,218.24
12,1,12,train,7.701855437720498e-10,6.984506481961678e-10,0.09313975853734441,1213155249.5727766,0,200,218,0,217.59
13,1,13,train,6.984506481961678e-10,6.378595158725399e-10,0.08675077112479126,1213155249.5727766,0,200,223,0,223.55
14,1,14,train,6.378595158725399e-10,5.75133832837343e-10,0.09833777105197418,1213155249.5727766,0,200,215,0,214.35
15,1,15,train,5.75133832837343e-10,5.189095480259359e-10,0.09775861130275078,1213155249.5727766,0,200,218,0,218.72
16,1,16,train,5.189095480259359e-10,4.731520460600338e-10,0.0881801118132733,1213155249.5727766,0,200,219,0,219.21
17,1,17,train,4.731520460600338e-10,4.351475635328061e-10,0.08032192366849797,1213155249.5727766,0,200,209,0,209.39
18,1,18,train,4.351475635328061e-10,4.009019142834973e-10,0.07869893369339064,1213155249.5727766,0,200,217,0,217.46
19,1,19,train,4.009019142834973e-10,3.7095603594667347e-10,0.07469627175600779,1213155249.5727766,0,200,219,0,218.64
20,1,20,train,3.7095603594667347e-10,3.428833538836929e-10,0.07567657442569864,1213155249.5727766,0,200,212,0,211.52
21,1,21,train,3.428833538836929e-10,3.1921492969397716e-10,0.06902762680554081,1213155249.5727766,0,200,214,0,214.77
22,1,22,train,3.1921492969397716e-10,2.973502360119256e-10,0.06849521011756145,1213155249.5727766,0,200,215,0,213.79
23,1,23,train,2.973502360119256e-10,2.767198451727011e-10,0.06938077842452797,1213155249.5727766,0,200,217,0,215.67
24,1,24,train,2.767198451727011e-10,2.580849332184738e-10,0.06734215951370323,1213155249.5727766,0,200,217,0,216.01
