round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
1,rk6,32000,250,25,1.987846908246952e-05,9.33960977179529e-10,nan,492.0813782395044,407.6983328625374,220.69141237938084,3976.8
2,own,32000,250,25,4.436989863427627e-09,4.2739301494858726e-10,nan,262.59138806926785,175.89583616970117,158.47474899192093,3977.9
3,own,32000,250,25,4.056968080953276e-09,2.5793939850829465e-10,432.91672365523937,210.8337050867135,157.6909904143946,123.32514962033159,4119.5
4,own,32000,250,25,3.3802680055871147e-09,2.8264290895745367e-10,238.8512329042669,216.79316710591223,178.2442183744024,100.39742770169369,4228.6
5,own,32000,250,25,4.634863259276652e-09,2.2068307751156377e-10,213.88210169530453,207.40169246550977,161.92316460956135,100.41588627574072,4104.7
6,own,32000,250,25,4.05657307049092e-09,2.2709462709282732e-10,236.49756252723364,213.83516276580394,171.31687573539978,92.10042717552369,4111.5
7,own,32000,250,25,2.0788805478016537e-09,1.8733091184466933e-10,246.67702306471995,176.57511465370135,134.7050416673028,83.43377282972142,3493.8
8,own,32000,250,25,3.682735843268014e-09,2.2119575735896358e-10,198.30897471945264,169.4115825375775,138.30109434115911,74.3683442915426,3461.4
9,own,32000,250,25,6.807344630448698e-09,1.7764568896265302e-10,193.56812561443348,157.94720946655616,112.5808940225852,94.05775642512992,3119.1
10,own,32000,250,25,2.9700628062957515e-09,1.7402562780001298e-10,182.17665844528597,174.6489271417886,134.90278954486712,86.30206732289025,2638.9
11,own,32000,250,25,6.1684498273093676e-09,1.4381756356823541e-10,163.63572035044172,163.14694232215743,126.58328742912772,88.90668006452529,2388.3
12,own,32000,250,25,1.0867323159380589e-08,1.3028951518600896e-10,202.52857958848836,164.2229150718606,121.88612301559942,84.15097271689831,2268.4
13,own,32000,250,25,5.911581615308234e-09,1.4015402335351585e-10,184.29435484517853,159.56008810704247,125.04299368617922,87.99176242501972,2239.1
14,own,32000,250,25,2.902200170894131e-09,1.2763651378640444e-10,172.45647258582153,171.688336743955,137.06946033812528,91.04112874524617,2233.8
15,own,32000,250,25,4.929354249208284e-09,1.3558906236721335e-10,181.81663829503236,161.8890875469141,133.80732000422313,77.53506808944621,2232.1
16,own,32000,250,25,2.1326326213118865e-09,1.537152496348305e-10,187.78075608815925,152.5529456528858,116.29380423607927,88.40189320898162,2228.3
17,own,32000,250,25,3.769016360603478e-09,1.4330275197727794e-10,149.0588260279253,156.10851396689895,120.46127433076492,73.73354043289737,3647.9
18,own,32000,250,25,1.1550294216365805e-08,1.7450671309588381e-10,171.17385314705302,141.99169269176082,109.9815317184607,76.27519380616832,3721.4
19,own,32000,250,25,3.1004196449457906e-09,1.6293872732880642e-10,156.26762207932643,170.76119997204842,142.86265158352762,68.44359731027794,3640.8
20,own,32000,250,25,1.0274527067795967e-08,1.4394423581960042e-10,170.61559950107608,161.30276760571326,120.81320484219304,66.69304665916798,3640.9
