restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,1.987846908246952e-05,3.2216445894141785e-08,0.9983793296274233,50305.68480154655,1,200,205,0,155.45
1,1,1,train,3.2216445894141785e-08,1.6338190109447468e-08,0.4928618084337356,31040047.163670506,1,200,207,0,162.41
2,1,2,train,1.6338190109447468e-08,1.1899382997205647e-08,0.27168291484594154,31040047.163670506,0,200,206,0,166.75
3,1,3,train,1.1899382997205647e-08,9.122329667456963e-09,0.23337792643541477,31040047.163670506,0,200,208,0,159.72
4,1,4,train,9.122329667456963e-09,7.212210102921057e-09,0.20938944701265008,31040047.163670506,0,200,209,0,154.84
5,1,5,train,7.212210102921057e-09,5.814388767916116e-09,0.19381317447183105,31040047.163670506,0,200,212,0,147.76
6,1,6,train,5.814388767916116e-09,4.86597107459106e-09,0.16311563109753494,31040047.163670506,0,200,206,0,147.61
7,1,7,train,4.86597107459106e-09,4.215619830534638e-09,0.13365292026752917,31040047.163670506,0,200,219,0,164.82
8,1,8,train,4.215619830534638e-09,3.6636047285116207e-09,0.13094518106795433,31040047.163670506,0,200,210,0,157.97
9,1,9,train,3.6636047285116207e-09,3.2515712418518075e-09,0.11246668710005903,31040047.163670506,0,200,214,0,158.94
10,1,10,train,3.2515712418518075e-09,2.894055945162546e-09,0.10995154960395473,31040047.163670506,0,200,213,0,149.26
11,1,11,train,2.894055945162546e-09,2.6992980206424e-09,0.06729583954508082,345535822.0256639,1,200,208,0,149.29
12,1,12,train,2.6992980206424e-09,2.451433964579974e-09,0.09182537614110398,345535822.0256639,0,200,217,0,161.65
13,1,13,train,2.451433964579974e-09,2.2079852526388845e-09,0.09930869664800529,345535822.0256639,0,200,212,0,167.74
14,1,14,train,2.2079852526388845e-09,1.9710399411952483e-09,0.10731290490298785,345535822.0256639,0,200,212,0,162.52
15,1,15,train,1.9710399411952483e-09,1.7964905253692276e-09,0.08855701611007083,345535822.0256639,0,200,210,0,169.22
16,1,16,train,1.7964905253692276e-09,1.6542099121153225e-09,0.07919920046595433,345535822.0256639,0,200,210,0,156.13
17,1,17,train,1.6542099121153225e-09,1.5303704605197456e-09,0.0748632024802808,345535822.0256639,0,200,212,0,150.33
18,1,18,train,1.5303704605197456e-09,1.4142707759649932e-09,0.07586377779098179,345535822.0256639,0,200,214,0,148.81
