outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
0,stall,1.279813014059406e-05,895.1017502000057,897.140183637596,888.2471884548124,1990.1152896561298,1916.4746924621088,0.39367762482750424,8.7
1,stall,5.21412789718041e-06,324.2359145753255,330.3451205563874,314.50967223884163,1178.4302210605624,1130.8181050510357,0.12615522479687835,9.2
2,stall,3.5817554965150884e-06,290.082100454546,302.5362554075173,288.51721291499643,1021.6903196420869,998.6398764923707,0.09924328300454921,9.3
3,stall,2.8323361724765817e-06,217.27306973430416,225.80099056617087,218.39256511442784,831.9591685099722,821.8476991715647,0.08423634376296396,9.4
4,stall,2.3871156062881056e-06,199.51233394547785,200.87405959262128,198.41559478569337,715.4952213206562,682.3357021828629,0.08407508982889722,9.7
5,stall,2.04419634064589e-06,160.6888232113164,164.81635192380395,162.8196345260733,619.9461176777203,607.2046885126958,0.08157652383053784,9.6
6,stall,1.8241867267402909e-06,128.88747605030204,131.94457295554685,126.84439569642336,589.9147386710489,540.2533548179492,0.0721818897770482,9.7
7,stall,1.6571158742994367e-06,87.93202886299945,88.87134900112414,84.73840159325974,498.33370208875135,520.1052237806209,0.06904660761242187,9.7
8,stall,1.5028374254048571e-06,75.11306140079199,78.03075825927408,74.9792607242199,506.2912394244788,489.2207543435189,0.06455851910092125,9.8
9,stall,1.3877095501070942e-06,74.42616843274408,74.1992978437338,73.9700501314644,507.22531545485185,468.9894557216545,0.06172454542382674,9.8
10,stall,1.2894106199321007e-06,77.50723959167516,77.16245647022335,74.74300541980483,494.4483582155146,444.6211462109602,0.053082595622866435,9.6
11,stall,1.2048342541429466e-06,66.97288281033309,66.80234617557801,65.79541544464007,501.8513783778142,449.67980060808964,0.04842828454362791,9.8
12,stall,1.1350982393136097e-06,64.58630999587456,64.63954469228383,61.234725939215195,477.53113554242583,443.9102391940966,0.04670990778295192,9.9
13,stall,1.0765363183608193e-06,60.57472069122127,60.068751964223566,59.70533928250177,441.58118429718303,389.5014767615412,0.04299191695780746,10.0
14,stall,1.0253294748278732e-06,61.65073173480096,62.70702618513724,60.62241936742652,454.7846341010247,402.79709066200434,0.04119638998218225,10.0
15,stall,9.802478817110864e-07,53.195630113332726,54.93269601586803,52.833152151450236,412.8108759499004,374.4017705454255,0.03684487133208056,10.0
16,stall,9.37670770891322e-07,52.387768621144915,53.8603412381633,54.38912589365774,396.1074935806945,349.7486754949258,0.03625122633686001,10.2
17,stall,8.960428898134341e-07,61.20938581929636,62.444249564364895,59.55486672433352,380.2350435989604,329.1981634047062,0.03725914363720412,10.2
18,stall,8.786772203077647e-07,58.26934853017107,59.80258376257552,57.735229158833334,368.38163240238066,321.69535582018085,0.037915028861731925,10.5
19,stall,8.773559734321873e-07,57.99690667318913,59.19451225798866,57.32133701235398,369.1127752669697,319.35771812789363,0.03783352555777192,10.2
20,stall,8.763784152226267e-07,57.475209414057815,58.818009423134754,57.028297752758306,366.0794787811763,319.25842608391866,0.03796662936484188,10.2
21,stall,8.75567027420954e-07,57.0330091550062,58.48314602587834,56.90065853728754,364.10132083939527,318.8894157324441,0.03795964879020272,10.2
22,stall,8.748594349563182e-07,56.673621321692735,57.898935216243785,56.60299471665553,361.9523498679224,318.7206599946869,0.038044923548974374,10.2
23,confirm,8.747528617461891e-07,56.67161492510786,57.77929893594358,56.64920333686929,362.59650146935985,318.58100079506397,0.03806629250343446,8.9
24,confirm,8.746574507470463e-07,56.64833220593124,57.68746135182923,56.712559720281774,362.83114156268186,318.5489330881681,0.03803061419463405,8.9
