mode,seed,outer,loss,wall_s
physics,0,0,0.0035465829361515594,54.13533306121826
physics,0,1,0.00186674482998381,46.29698610305786
physics,0,2,0.0010498737820843493,51.64584517478943
physics,0,3,0.0005627518218464604,52.716803550720215
physics,0,4,0.0003840877600735937,45.555145502090454
physics,0,5,0.0002830902309613522,54.66374969482422
physics,1,0,0.002906598408751114,37.50018668174744
physics,1,1,0.0018121097809478182,36.476292848587036
physics,1,2,0.0011360758351685717,41.707377910614014
physics,1,3,0.0006677758598768565,45.57264804840088
physics,1,4,0.0003823579939537346,42.29936385154724
physics,1,5,0.0002658235655318173,43.76396727561951
physics,2,0,0.0034882908334573116,43.97178792953491
physics,2,1,0.0020860116517512884,42.23662877082825
physics,2,2,0.0015192988046030826,43.5707151889801
physics,2,3,0.0009966798094503753,38.725491523742676
physics,2,4,0.000613254282363009,46.95429992675781
physics,2,5,0.0003847795040768496,50.57336473464966
data,0,0,0.005745278718128323,21.878637552261353
data,0,1,0.0006310628138170413,19.433407068252563
data,0,2,0.00027417711863480994,20.62181043624878
data,0,3,0.0001605871408776067,26.176077604293823
data,0,4,0.00011511022154040984,27.910804748535156
data,0,5,9.119913805076424e-05,27.017699480056763
data,1,0,0.0013882467270829291,27.887348413467407
data,1,1,0.000302019708405724,22.9076189994812
data,1,2,0.00015815312487737777,28.92252492904663
data,1,3,0.00010787849181620354,25.07379722595215
data,1,4,8.154983927352547e-05,27.916991472244263
data,1,5,6.603658217191552e-05,27.33520483970642
data,2,0,0.0048605012364786055,27.172673225402832
data,2,1,0.0008079591850449961,24.71709632873535
data,2,2,0.0003265833812753759,25.357085704803467
data,2,3,0.00018746935043372352,26.245396614074707
data,2,4,0.00012411631628953375,27.034364938735962
data,2,5,9.383054719359103e-05,18.83228302001953
physics,0,6,0.0002246382201259875,24.9
physics,0,7,0.00016317098559434672,27.3
physics,0,8,0.00012580929435136273,26.2
physics,0,9,0.00010768139493117557,26.8
physics,0,10,9.2858184397962e-05,26.1
physics,0,11,8.096977577628863e-05,25.5
physics,0,12,7.273285340422222e-05,24.7
physics,0,13,6.684939323418923e-05,25.1
physics,0,14,6.078965443164688e-05,25.2
physics,0,15,5.6537921617496184e-05,24.0
physics,0,16,5.2341271039382994e-05,26.6
physics,0,17,4.9358077923339836e-05,25.3
physics,0,18,4.666563606518728e-05,25.8
physics,0,19,4.4390384971236984e-05,24.9
physics,0,20,4.238590434936145e-05,25.7
physics,0,21,4.037791946702581e-05,24.4
physics,0,22,3.850193251764213e-05,24.8
physics,0,23,3.667265499803317e-05,25.3
physics,0,24,3.497386081859623e-05,25.4
physics,0,25,3.347345890203543e-05,25.2
physics,0,26,3.195113716784493e-05,25.2
physics,0,27,3.064797119001941e-05,25.6
physics,0,28,2.9551258298300174e-05,25.3
physics,0,29,2.8621326453693e-05,25.7
physics,0,30,2.7704383817196302e-05,25.1
physics,0,31,2.6810188316245714e-05,24.2
physics,0,32,2.595771634461994e-05,25.2
physics,0,33,2.5201946508175485e-05,25.6
physics,0,34,2.44026022194526e-05,26.2
