restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
0,1,0,train,9.221670655629254e-05,1.5173893086626697e-07,0.9983545396866496,10844.022057863913,1,200,203,0,248.17
1,1,1,train,1.5173893086626697e-07,7.483578605370533e-08,0.5068122226348041,6590266.547227331,1,200,209,0,155.36
2,1,2,train,7.483578605370533e-08,5.2537248224305265e-08,0.29796624055498916,6590266.547227331,0,200,204,0,175.08
3,1,3,train,5.2537248224305265e-08,4.0668117976097665e-08,0.22591838456275665,6590266.547227331,0,200,205,0,176.7
4,1,4,train,4.0668117976097665e-08,3.1941248555863056e-08,0.21458749149305978,6590266.547227331,0,200,206,0,152.08
5,1,5,train,3.1941248555863056e-08,2.5323639460101213e-08,0.2071806643434147,6590266.547227331,0,200,206,0,175.14
6,1,6,train,2.5323639460101213e-08,2.0363553136909237e-08,0.1958678305702016,6590266.547227331,0,200,207,0,235.73
7,1,7,train,2.0363553136909237e-08,1.6802201853747902e-08,0.17488850100065953,6590266.547227331,0,200,206,0,163.23
8,1,8,train,1.6802201853747902e-08,1.4226057323726913e-08,0.1533218415327128,6590266.547227331,0,200,211,0,160.3
9,1,9,train,1.4226057323726913e-08,1.2519712332987117e-08,0.11994503831317128,70293544.95374845,1,200,208,0,239.86
10,1,10,train,1.2519712332987117e-08,1.089428823063956e-08,0.12982918929094456,70293544.95374845,0,200,209,0,255.89
11,1,11,train,1.089428823063956e-08,9.575573724657643e-09,0.12104641240105143,70293544.95374845,0,200,210,0,239.34
12,1,12,train,9.575573724657643e-09,8.685938069275722e-09,0.09290677310447294,70293544.95374845,0,200,217,0,305.47
13,1,13,train,8.685938069275722e-09,7.956715964894619e-09,0.08395432923480534,70293544.95374845,0,200,215,0,288.64
14,1,14,train,7.956715964894619e-09,7.35703853467398e-09,0.07536745472207902,70293544.95374845,0,200,216,0,349.57
15,1,15,train,7.35703853467398e-09,6.826212374819512e-09,0.07215215162360042,70293544.95374845,0,200,214,0,331.88
16,1,16,train,6.826212374819512e-09,6.3158791863447755e-09,0.07476081323769684,70293544.95374845,0,200,209,0,350.54
17,1,17,train,6.3158791863447755e-09,5.9135966935064044e-09,0.0636938232935368,70293544.95374845,0,200,213,0,166.3
18,1,18,train,5.9135966935064044e-09,5.514722920015729e-09,0.06745028350152293,70293544.95374845,0,200,212,0,153.58
19,1,19,train,5.514722920015729e-09,5.148243043307172e-09,0.06645481233126238,70293544.95374845,0,200,213,0,170.37
20,1,20,train,5.148243043307172e-09,4.802532260865763e-09,0.06715121635347819,70293544.95374845,0,200,216,0,204.43
21,1,21,train,4.802532260865763e-09,4.4709848500693964e-09,0.06903595703001027,70293544.95374845,0,200,217,0,204.9
22,1,22,train,4.4709848500693964e-09,4.181262380716297e-09,0.06480059294958301,70293544.95374845,0,200,216,0,163.2
23,1,23,train,4.181262380716297e-09,3.932519060687503e-09,0.059490005022402266,70293544.95374845,0,200,214,0,202.24
24,1,24,train,3.932519060687503e-09,3.7099544536935775e-09,0.05659593852165982,70293544.95374845,0,200,213,0,229.62
25,2,0,train,1.7462899320741234e-08,6.688231816048373e-09,0.617003357048245,57264259.59590047,1,200,214,0,184.34
26,2,1,train,6.688231816048373e-09,5.654947735573303e-09,0.15449286282148753,57264259.59590047,0,200,211,0,169.54
